id,name,city,code,phone_prefix,state_id:id,country_id:id
050001,050001,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050002,050002,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050003,050003,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050004,050004,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050005,050005,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050006,050006,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050007,050007,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050010,050010,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050011,050011,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050012,050012,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050013,050013,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050014,050014,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050015,050015,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050016,050016,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050017,050017,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050018,050018,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050020,050020,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050021,050021,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050022,050022,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050023,050023,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050024,050024,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050025,050025,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050026,050026,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050027,050027,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050028,050028,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050029,050029,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050030,050030,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050031,050031,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050032,050032,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050033,050033,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050034,050034,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050035,050035,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050036,050036,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050037,050037,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050040,050040,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050041,050041,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050042,050042,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050043,050043,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050044,050044,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050047,050047,MEDELLÍN,05001,4,res_country_state_co_05,base.co
050048,050048,MEDELLÍN,05001,4,res_country_state_co_05,base.co
051010,051010,SAN PEDRO DE LOS MILAGROS,05664,4,res_country_state_co_05,base.co
051017,051017,SAN PEDRO DE LOS MILAGROS,05664,4,res_country_state_co_05,base.co
051020,051020,BARBOSA,05079,4,res_country_state_co_05,base.co
051027,051027,BARBOSA,05079,4,res_country_state_co_05,base.co
051028,051028,BARBOSA,05079,4,res_country_state_co_05,base.co
051030,051030,GIRARDOTA,05308,4,res_country_state_co_05,base.co
051037,051037,GIRARDOTA,05308,4,res_country_state_co_05,base.co
051038,051038,GIRARDOTA,05308,4,res_country_state_co_05,base.co
051040,051040,COPACABANA,05212,4,res_country_state_co_05,base.co
051047,051047,COPACABANA,05212,4,res_country_state_co_05,base.co
051048,051048,COPACABANA,05212,4,res_country_state_co_05,base.co
051050,051050,BELLO,05088,4,res_country_state_co_05,base.co
051051,051051,BELLO,05088,4,res_country_state_co_05,base.co
051052,051052,BELLO,05088,4,res_country_state_co_05,base.co
051053,051053,BELLO,05088,4,res_country_state_co_05,base.co
051054,051054,BELLO,05088,4,res_country_state_co_05,base.co
051057,051057,BELLO,05088,4,res_country_state_co_05,base.co
051058,051058,BELLO,05088,4,res_country_state_co_05,base.co
051059,051059,BELLO,05088,4,res_country_state_co_05,base.co
051070,051070,SAN JERÓNIMO,05656,4,res_country_state_co_05,base.co
051077,051077,SAN JERÓNIMO,05656,4,res_country_state_co_05,base.co
051410,051410,SAN JOSÉ DE LA MONTAÑA,05658,4,res_country_state_co_05,base.co
051417,051417,SAN JOSÉ DE LA MONTAÑA,05658,4,res_country_state_co_05,base.co
051420,051420,BELMIRA,05086,4,res_country_state_co_05,base.co
051427,051427,BELMIRA,05086,4,res_country_state_co_05,base.co
051430,051430,ENTRERRÍOS,05264,4,res_country_state_co_05,base.co
051437,051437,ENTRERRÍOS,05264,4,res_country_state_co_05,base.co
051440,051440,SOPETRÁN,05761,4,res_country_state_co_05,base.co
051447,051447,SOPETRÁN,05761,4,res_country_state_co_05,base.co
051448,051448,SOPETRÁN,05761,4,res_country_state_co_05,base.co
051450,051450,OLAYA,05501,4,res_country_state_co_05,base.co
051457,051457,OLAYA,05501,4,res_country_state_co_05,base.co
051460,051460,LIBORINA,05411,4,res_country_state_co_05,base.co
051467,051467,LIBORINA,05411,4,res_country_state_co_05,base.co
051468,051468,LIBORINA,05411,4,res_country_state_co_05,base.co
051810,051810,ANGOSTURA,05038,4,res_country_state_co_05,base.co
051817,051817,ANGOSTURA,05038,4,res_country_state_co_05,base.co
051818,051818,ANGOSTURA,05038,4,res_country_state_co_05,base.co
051820,051820,GUADALUPE,05315,4,res_country_state_co_05,base.co
051827,051827,GUADALUPE,05315,4,res_country_state_co_05,base.co
051830,051830,GÓMEZ PLATA,05310,4,res_country_state_co_05,base.co
051837,051837,GÓMEZ PLATA,05310,4,res_country_state_co_05,base.co
051838,051838,GÓMEZ PLATA,05310,4,res_country_state_co_05,base.co
051840,051840,CAROLINA,05150,4,res_country_state_co_05,base.co
051847,051847,CAROLINA,05150,4,res_country_state_co_05,base.co
051850,051850,DONMATÍAS,05237,4,res_country_state_co_05,base.co
051857,051857,DONMATÍAS,05237,4,res_country_state_co_05,base.co
051858,051858,DONMATÍAS,05237,4,res_country_state_co_05,base.co
